id,occurred_at,district,region,severity,latitude,longitude,accident_type,casualties,vehicles_involved,weather,source
1,4/23/2022 3:44,Zhmerynka,Vinnytska,1,51.525465,29.939585,collision,4,4,clear,Telegram
2,2/15/2021 19:19,Kamianske,Dniprovska,2,51.26395,39.200048,collision,5,1,snow,Telegram
3,1/20/2023 2:39,Berehove,Zakarpatska,2,51.711557,37.371899,other,4,1,fog,OSM
4,5/20/2025 9:25,Odesa,Odeska,1,47.611838,26.537028,pedestrian,4,4,clear,OSM
5,10/22/2022 22:12,Lviv,Lvivska,2,52.36393,34.880691,rollover,4,3,fog,Opendatabot
6,5/22/2023 7:39,Lviv,Lvivska,3,49.797026,25.890743,pedestrian,3,4,fog,Opendatabot
7,6/28/2024 14:56,Brovary,Kyivska,3,44.835799,32.482768,hit_and_run,1,4,snow,OSM
8,3/7/2025 14:35,Kamianske,Dniprovska,1,44.188509,33.868683,pedestrian,5,3,fog,Opendatabot
9,3/12/2022 3:34,Bilhorod-Dnistrovskyi,Odeska,1,46.147051,30.955701,pedestrian,0,3,storm,Opendatabot
10,12/24/2020 22:10,Brovary,Kyivska,1,48.301232,28.318069,pedestrian,3,2,storm,Telegram
11,9/13/2023 21:05,Chuhuiv,Kharkivska,3,46.767319,22.726757,hit_and_run,1,2,snow,Opendatabot
12,10/24/2020 2:05,Haisyn,Vinnytska,3,44.925938,39.615364,hit_and_run,2,4,snow,OSM
13,2/19/2023 23:24,Brovary,Kyivska,1,48.12772,34.635109,hit_and_run,1,2,clear,OSM
14,11/22/2019 11:27,Dnipro,Dniprovska,1,46.809603,29.913052,pedestrian,0,3,clear,Telegram
15,9/4/2022 13:46,Vinnytsia,Vinnytska,3,46.288801,23.339827,rollover,3,1,snow,Opendatabot
16,1/23/2019 9:21,Novomoskovsk,Dniprovska,1,48.496033,24.147109,hit_and_run,5,2,rain,Opendatabot
17,8/18/2025 15:58,Chuhuiv,Kharkivska,2,51.996291,29.189868,rollover,3,2,rain,Telegram
18,7/20/2025 19:11,Zolochiv,Lvivska,2,51.518382,23.691147,pedestrian,5,4,storm,Opendatabot
19,1/23/2020 0:27,Haisyn,Vinnytska,2,49.649424,26.559155,rollover,0,3,fog,Telegram
20,9/6/2022 1:48,Uzhhorod,Zakarpatska,3,46.516745,34.216053,hit_and_run,2,4,clear,Telegram
21,9/13/2022 14:17,Vinnytsia,Vinnytska,1,50.604059,30.634797,other,1,2,fog,Opendatabot
22,7/19/2020 13:47,Lozova,Kharkivska,1,50.621659,25.400757,other,4,4,storm,Opendatabot
23,5/18/2023 14:25,Lviv,Lvivska,2,51.578095,29.418974,collision,1,2,storm,OSM
24,9/17/2020 6:08,Brovary,Kyivska,2,45.981251,29.239787,pedestrian,0,1,storm,OSM
25,7/10/2019 17:56,Mukachevo,Zakarpatska,2,46.870182,28.916961,other,3,1,clear,OSM
26,4/2/2025 21:07,Irpin,Kyivska,2,52.27639,25.124298,other,5,4,rain,OSM
27,12/20/2019 4:54,Vinnytsia,Vinnytska,1,47.384727,37.123197,other,1,2,storm,OSM
28,6/16/2023 9:35,Kamianske,Dniprovska,3,50.563191,29.840828,other,5,4,clear,Opendatabot
29,7/21/2024 17:16,Obukhiv,Kyivska,2,48.794336,33.677071,collision,3,3,rain,Telegram
30,1/18/2025 3:07,Odesa,Odeska,1,48.536585,30.274703,collision,5,2,clear,OSM
31,11/25/2024 8:31,Novomoskovsk,Dniprovska,2,51.739247,36.064474,hit_and_run,2,1,clear,Opendatabot
32,7/15/2019 5:20,Sokal,Lvivska,3,51.429564,39.073551,rollover,1,1,snow,Opendatabot
33,1/20/2019 7:06,Novomoskovsk,Dniprovska,2,48.376576,25.12369,pedestrian,1,4,snow,Opendatabot
34,1/3/2020 18:03,Haisyn,Vinnytska,2,49.374231,24.588266,collision,1,3,fog,OSM
35,9/12/2021 17:00,Kharkiv,Kharkivska,1,49.294364,38.569722,other,3,2,snow,Opendatabot
36,5/15/2021 10:19,Zolochiv,Lvivska,1,49.576319,36.483174,pedestrian,3,1,rain,OSM
37,11/19/2024 3:54,Odesa,Odeska,1,48.571155,38.808926,hit_and_run,0,4,rain,Opendatabot
38,1/1/2024 10:58,Uzhhorod,Zakarpatska,3,51.275061,30.859027,pedestrian,3,2,snow,Opendatabot
